Housing Location,Type of Energy,,,Start Date,End Date,,Usage,Unit,Cost,,
Adams Hall,Electric,ADAMSHALLDEM01,201507,6/30/2015,7/31/2015,ADAMSHALLDEM01,"23,806 ",KWH,"$1,396.41 ",,
Adams Hall,Electric,ADAMSHALLDEM01,201508,7/31/2015,8/27/2015,ADAMSHALLDEM01,"18,185 ",KWH,"$1,102.72 ",,
Adams Hall,Electric,ADAMSHALLDEM01,201509,8/27/2015,9/29/2015,ADAMSHALLDEM01,"30,485 ",KWH,"$1,783.52 ",,
Adams Hall,Electric,ADAMSHALLDEM01,201510,9/29/2015,10/28/2015,ADAMSHALLDEM01,"23,579 ",KWH,"$1,409.90 ",,
Adams Hall,Electric,ADAMSHALLDEM01,201511,10/28/2015,12/1/2015,ADAMSHALLDEM01,"24,257 ",KWH,"$1,467.19 ",,
Adams Hall,Electric,ADAMSHALLDEM01,201512,12/1/2015,12/31/2015,ADAMSHALLDEM01,"19,619 ",KWH,"$1,239.38 ",,
Adams Hall,Electric,ADAMSHALLDEM01,201601,12/31/2015,2/1/2016,ADAMSHALLDEM01,"21,194 ",KWH,"$1,325.83 ",,
Adams Hall,Electric,ADAMSHALLDEM01,201602,2/1/2016,3/1/2016,ADAMSHALLDEM01,"21,697 ",KWH,"$1,324.14 ",,
Adams Hall,Electric,ADAMSHALLDEM01,201603,3/1/2016,3/31/2016,ADAMSHALLDEM01,"20,287 ",KWH,"$1,302.40 ",,
Adams Hall,Electric,ADAMSHALLDEM01,201604,3/31/2016,4/29/2016,ADAMSHALLDEM01,"22,117 ",KWH,"$1,332.55 ",,
Adams Hall,Electric,ADAMSHALLDEM01,201605,4/29/2016,5/31/2016,ADAMSHALLDEM01,"20,714 ",KWH,"$1,288.39 ",,
Adams Hall,Electric,ADAMSHALLDEM01,201606,5/31/2016,6/29/2016,ADAMSHALLDEM01,"16,624 ",KWH,$997.97 ,,
Amherst Hall,Electric,AMHERSTHALLDEM01,201507,6/30/2015,7/31/2015,AMHERSTHALLDEM01,"11,400 ",KWH,$668.70 ,,
Amherst Hall,Electric,AMHERSTHALLDEM01,201508,7/31/2015,8/27/2015,AMHERSTHALLDEM01,"9,440 ",KWH,$572.43 ,,
Amherst Hall,Electric,AMHERSTHALLDEM01,201509,8/27/2015,9/29/2015,AMHERSTHALLDEM01,"17,212 ",KWH,"$1,006.99 ",,
Amherst Hall,Electric,AMHERSTHALLDEM01,201510,9/29/2015,10/28/2015,AMHERSTHALLDEM01,"14,918 ",KWH,$892.02 ,,
